ZTF_Name,Class,col3,col4,col5,col6,col7,Version,col9
ZTF19abangub,Ia,0.083,,2458667.5,2460056.23,-1388.73,ZTF19abangub_20190703_Lick_3-m_v1.ascii,0
ZTF19abauylg,Ic,0.032,,2458667.5,2460054.24,-1386.74,ZTF19abauylg_20190703_Lick_3-m_v1.ascii,0
ZTF19abauzma,Ia,0.07028,,2458668.5,2460057.27,-1388.77,ZTF19abauzma_20190704_Lick_3-m_v1.ascii,0
ZTF19abbywep,IIb,0.02895,,2458668.5,2460052.2,-1383.7,ZTF19abbywep_20190704_P200_v2.ascii,0
ZTF19abcpiag,CV,,,2459117.5,2460497.22,-1379.72,ZTF19abcpiag_20200925_P60_v1.ascii,0
ZTF19abclykm,NLS1,0.0935,,2459082.5,2460096.4,-1013.9,ZTF19abclykm_20200821_NOT_v1.ascii,0
ZTF19abclykm,NLS1,0.0935,,2459138.5,2460096.4,-957.9,ZTF19abclykm_20201016_P60_v1.ascii,0
ZTF19abclykm,NLS1,0.0935,,2459142.5,2460096.4,-953.9,ZTF19abclykm_20201020_Keck1_v1.ascii,0
ZTF19abclykm,NLS1,0.0935,,2459189.5,2460096.4,-906.9,ZTF19abclykm_20201206_DCT_v1.ascii,0
ZTF19abclykm,NLS1,0.0935,,2459372.5,2460096.4,-723.9,ZTF19abclykm_20210607_Keck1_v1.ascii,0
ZTF19abdoior,Ic,0.047,,2458710.5,2460063.29,-1352.79,ZTF19abdoior_20190815_NOT_v1.ascii,0
ZTF19aarpymc,AGN,0.07,,2459116.5,2460637.59,-1521.09,ZTF19aarpymc_20200924_P60_v1.ascii,0
ZTF19abfwtkw,Ia,0.11,,2458732.5,2460067.39,-1334.89,ZTF19abfwtkw_20190906_P200_v3.ascii,0
ZTF19abfvnns,SLSN-I,0.1295,,2459082.5,2460091.51,-1009.01,ZTF19abfvnns_20200821_Keck1_v1.ascii,0
ZTF19abidbya,TDE,0.117,,2459080.5,2460076.46,-995.96,ZTF19abidbya_20200819_DCT_v1.ascii,0
ZTF19abgrchq,IIb,0.0296,,2458694.5,2460074.52,-1380.02,ZTF19abgrchq_20190730_NTT_v1.ascii,0
ZTF19abjacdu,IIn,0.082,,2459114.5,2460287.15,-1172.65,ZTF19abjacdu_20200922_P60_v1.ascii,0
ZTF19abiietd,II,0.0161,,2458707.5,2460094.27,-1386.77,ZTF19abiietd_20190812_P200_v1.ascii,0
ZTF19ablesob,Ic-BL,0.0558,,2458821.5,2460094.41,-1272.91,ZTF19ablesob_20191204_Keck2_v1.ascii,0
ZTF19ablesob,Ic-BL,0.0558,,2459112.5,2460094.41,-981.91,ZTF19ablesob_20200920_Keck1_v1.ascii,0
ZTF19abqwtfu,Ic-BL,0.01435,,2459082.5,2460118.43,-1035.93,ZTF19abqwtfu_20200821_Keck1_v1.ascii,0
ZTF19abqykei,IIb,0.0355,,2459082.5,2460127.53,-1045.03,ZTF19abqykei_20200821_Keck1_v1.ascii,0
ZTF19abrirmk,Ib,0.065,,2458739.5,2460114.49,-1374.99,ZTF19abrirmk_20190913_P60_v1.ascii,0
ZTF19abucwzt,Ib,0.0162,,2458875.5,2460105.54,-1230.04,ZTF19abucwzt_20200127_NOT_v1.ascii,0
ZTF19abucwzt,Ib,0.0162,,2459082.5,2460105.54,-1023.04,ZTF19abucwzt_20200821_Keck1_v1.ascii,0
ZTF19abucwzt,Ib,0.0162,,2459091.5,2460105.54,-1014.04,ZTF19abucwzt_20200830_NOT_v1.ascii,0
ZTF19abucwzt,Ib,0.0162,,2459093.5,2460105.54,-1012.04,ZTF19abucwzt_20200901_P60_v1.ascii,0
ZTF19abucwzt,Ib,0.0162,,2459114.5,2460105.54,-991.04,ZTF19abucwzt_20200922_P60_v1.ascii,0
ZTF19abucwzt,Ib,0.0162,,2459121.5,2460105.54,-984.04,ZTF19abucwzt_20200929_P60_v1.ascii,0
ZTF19abucwzt,Ib,0.0162,,2459140.5,2460105.54,-965.04,ZTF19abucwzt_20201018_P60_v1.ascii,0
ZTF19abucwzt,Ib,0.0162,,2459150.5,2460105.54,-955.04,ZTF19abucwzt_20201028_P60_v1.ascii,0
ZTF19abucwzt,Ib,0.0162,,2459164.5,2460105.54,-941.04,ZTF19abucwzt_20201111_P60_v1.ascii,0
ZTF19abucwzt,Ib,0.0162,,2459178.5,2460105.54,-927.04,ZTF19abucwzt_20201125_P60_v1.ascii,0
ZTF19abucwzt,Ib,0.0162,,2459228.5,2460105.54,-877.04,ZTF19abucwzt_20210114_Keck1_v2.ascii,0
ZTF19abucwzt,Ib,0.0162,,2459311.5,2460105.54,-794.04,ZTF19abucwzt_20210407_Keck1_v1.ascii,0
ZTF19abtslqm,IIP,0.0319,,2458759.5,2460107.53,-1348.03,ZTF19abtslqm_20191003_P200_v2.ascii,0
ZTF19abtsnyy,Ic,0.04,,2459107.5,2460126.48,-1018.98,ZTF19abtsnyy_20200915_Keck1_v1.ascii,0
ZTF19abvjnsm,-,,,2459071.5,2460450.28,-1378.78,ZTF19abvjnsm_20200810_P60_v1.ascii,0
ZTF19abvgxrq,-,0.097,,2459105.5,2460133.53,-1028.03,ZTF19abvgxrq_20200913_DCT_v1.ascii,0
ZTF19abvgxrq,-,0.097,,2459189.5,2460133.53,-944.03,ZTF19abvgxrq_20201206_DCT_v1.ascii,0
ZTF19abxjrge,IIb,0.0217,,2458738.5,2460131.33,-1392.83,ZTF19abxjrge_20190912_P60_v1.ascii,0
ZTF19abxjrge,IIb,0.0217,,2459107.5,2460131.33,-1023.83,ZTF19abxjrge_20200915_Keck1_v1.ascii,0
ZTF19abxgmzr,SLSN-I.5,0.1136,,2459082.5,2460140.3,-1057.8,ZTF19abxgmzr_20200821_Keck1_v1.ascii,0
ZTF19abxgmzr,SLSN-I.5,0.1136,,2459134.5,2460140.3,-1005.8,ZTF19abxgmzr_20201012_Keck1_v1.ascii,0
ZTF19abxekxi,SLSN-II,0.1423,,2458759.5,2460163.13,-1403.63,ZTF19abxekxi_20191003_P200_v2.ascii,0
ZTF19abzwaen,Ic-BL,0.0285,,2458828.5,2460132.29,-1303.79,ZTF19abzwaen_20191211_Keck2_v1.ascii,0
ZTF19abzwaen,Ic-BL,0.0285,,2459107.5,2460132.29,-1024.79,ZTF19abzwaen_20200915_Keck1_v2.ascii,0
ZTF19abzwaen,Ic-BL,0.0285,,2459107.5,2460132.29,-1024.79,ZTF19abzwaen_20200915_Keck1_v3.ascii,0
ZTF19abztknu,Ib,0.0535,,2459082.5,2460163.35,-1080.85,ZTF19abztknu_20200821_Keck1_v1.ascii,0
ZTF19abzrhgq,TDE,0.01499,,2459080.5,2460145.49,-1064.99,ZTF19abzrhgq_20200819_DCT_v1.ascii,0
ZTF19abzrhgq,TDE,0.01499,,2459080.5,2460145.49,-1064.99,ZTF19abzrhgq_20200819_DCT_v2.ascii,0
ZTF19abzrhgq,TDE,0.01499,,2459080.5,2460145.49,-1064.99,ZTF19abzrhgq_20200819_DCT_v3.ascii,0
ZTF19acbonaa,SLSN-I,0.1178,,2459256.5,2460181.5,-925.0,ZTF19acbonaa_20210211_Keck1_v1.ascii,0
ZTF19acftfav,II,0.01339,,2458805.5,2460172.18,-1366.68,ZTF19acftfav_20191118_P60_v1.ascii,0
