Version,ZTF_Name,z_sntemplate,z_rlap,z_snid,z_snid_err,z_level,rank_1,sntemplate_1,rlap_1,c_snid_1,z_snid_1,z_snid_err_1,age_1,age_flag_1,rank_2,sntemplate_2,rlap_2,c_snid_2,z_snid_2,z_snid_err_2,age_2,age_flag_2,rank_3,sntemplate_3,rlap_3,c_snid_3,z_snid_3,z_snid_err_3,age_3,age_flag_3,rank_4,sntemplate_4,rlap_4,c_snid_4,z_snid_4,z_snid_err_4,age_4,age_flag_4,rank_5,sntemplate_5,rlap_5,c_snid_5,z_snid_5,z_snid_err_5,age_5,age_flag_5
ZTF18acbvahw_20190105_Keck1_v1.ascii,ZTF18acbvahw,sn84L,13.37,0.0155,0.0035,1,1,sn84L,13.37,Ib-norm,0.0155,0.0035,69.6,0,3,sn2000H,13.11,IIb,0.0183,0.0042,55.8,0,5,sn1993J,12.68,IIb,0.0178,0.0039,62.0,0,9,sn2011dh,11.67,IIb,0.016,0.0041,46.4,0,17,sn90U,10.74,Ic-norm,0.018,0.0044,69.5,0
ZTF18acbvahw_20190924_Keck1_v1.ascii,ZTF18acbvahw,sn2012ap,7.12,0.4377,0.0102,0,1,sn2012ap,7.12,Ic-BL,0.4377,0.0102,1.0,0,2,sn96X,6.15,Ia-norm,0.4078,0.0086,12.7,0,4,sn92A,5.9,Ia-norm,0.4165,0.0098,11.6,0,5,sn1989B,5.72,Ia-norm,0.3965,0.0088,12.6,0,14,sn2008D,5.47,Ib-norm,0.4319,0.0142,-11.5,0
ZTF18acbvbox_20181102_P60_v1.ascii,ZTF18acbvbox,sn06ac,8.62,0.0378,0.0056,1,1,sn99aa,8.62,Ia-norm,0.0542,0.0071,7.6,0,2,sn06ac,8.62,Ia-norm,0.0378,0.0056,8.54,0,3,sn05kc,8.6,Ia-norm,0.0318,0.0064,10.22,0,22,sn1999ac,7.45,Ia-91T,0.0363,0.007,2.7,0,69,sn2006gz,6.49,Ia-03fg,0.0339,0.0065,11.1,0
ZTF18acbvcmw_20181112_P60_v1.ascii,ZTF18acbvcmw,sn1998S,6.17,0.2182,0.0088,0,1,sn1998S,6.17,IIn,0.2182,0.0088,127.3,0,39,sn06Y,4.92,II-norm,0.2159,0.0089,58.0,0,56,sn1998bw,4.75,Ic-BL,0.2038,0.014,8.7,0,67,sn96L,4.58,IIn,0.2336,0.0057,42.2,0,74,sn1987A,4.41,II-norm,0.2091,0.0069,156.1,0
ZTF18acbvcmw_20181113_UH88_v1.ascii,ZTF18acbvcmw,sn2002ic,11.02,0.0697,0.0057,1,1,sn2002ic,11.02,Ia-csm,0.0697,0.0057,5.6,0,3,sn1994ae,9.31,Ia-norm,0.0704,0.0061,8.0,0,7,sn2008Z,8.09,Ia-norm,0.0723,0.0063,10.3,0,8,sn1999gp,7.71,Ia-91T,0.083,0.0083,-4.8,0,9,sn2003hu,7.66,Ia-91T,0.0668,0.0078,10.3,0
ZTF18acbvgqw_20181104_P60_v1.ascii,ZTF18acbvgqw,iPTF13bvn,7.14,0.2769,0.0062,0,1,iPTF13bvn,7.14,Ib-norm,0.2769,0.0062,-5.8,0,2,sn1997cn,4.5,Ia-91bg,0.1754,0.0133,15.0,0,3,sn2006H,4.33,Ia-91bg,0.1803,0.015,19.4,0,4,sn2000cn,4.32,Ia-91bg,0.1762,0.014,20.9,0,5,sn2004L,4.3,Ia-norm,0.1741,0.0138,25.6,0
ZTF18acbvgqw_20181109_Lick_3-m_v1.ascii,ZTF18acbvgqw,sn2006cc,9.47,0.0087,0.0045,1,1,sn2006cc,9.47,Ia-norm,0.0087,0.0045,-9.7,0,2,sn2003ic,7.83,Ia-norm,0.0084,0.0066,-4.1,0,3,sn2006cf,7.83,Ia-norm,-0.0009,0.0062,2.7,0,4,sn2003du,7.8,Ia-norm,0.0033,0.0063,-7.2,0,22,sn2003hu,6.51,Ia-91T,-0.0003,0.0073,0.1,0
ZTF18acbvgqw_20181117_P60_v1.ascii,ZTF18acbvgqw,sn2006N,20.01,0.0077,0.0027,1,1,sn2006N,20.01,Ia-norm,0.0077,0.0027,-3.3,0,2,sn2006cf,19.35,Ia-norm,0.0033,0.0028,1.8,0,3,sn03cg,18.34,Ia-norm,0.006,0.003,-1.8,0,6,sn2005na,17.85,Ia-norm,0.0038,0.0031,1.4,0,7,sn2007ca,17.17,Ia-norm,0.0041,0.0032,3.4,0
ZTF18acbvgry_20181108_P60_v1.ascii,ZTF18acbvgry,sn1997br,8.53,0.0958,0.0067,1,1,sn1997br,8.53,Ia-91T,0.0958,0.0067,9.9,0,3,sn05hk,7.84,Ia-02cx,0.0826,0.0072,3.6,0,5,sn08A,7.33,Ia-02cx,0.0844,0.0085,0.79,0,8,sn05kc,6.93,Ia-norm,0.0947,0.008,10.22,0,10,sn1995bd,6.5,Ia-91T,0.101,0.0086,10.6,0
ZTF18acbvgtu_20181101_P60_v1.ascii,ZTF18acbvgtu,sn2005ke,6.79,0.0404,0.0094,1,1,sn2002do,9.91,Ia-norm,0.0332,0.0064,16.7,0,2,sn2004L,8.57,Ia-norm,0.0303,0.0056,19.9,0,4,sn2001N,7.59,Ia-norm,0.0312,0.007,30.0,0,6,sn2005gj,7.15,Ia-csm,0.0337,0.0095,38.5,0,8,mstar,6.81,M-star,0.0314,0.0062,0.0,2
ZTF18acbvhfl_20181119_P60_v1.ascii,ZTF18acbvhfl,sn05dz,5.64,0.1323,0.0061,1,1,sn05dz,5.64,II-norm,0.1323,0.0061,29.0,0,2,sn1987A,5.46,II-norm,0.1425,0.0069,-76.8,0,6,sn03bn,5.3,II-norm,0.127,0.0062,39.0,0,25,iPTF13bvn,4.79,Ib-norm,0.148,0.0111,-12.7,0,30,sn2007bg,4.71,Ic-BL,0.1374,0.0126,6.9,0
ZTF18acbvhfl_20181204_Keck1_v1.ascii,ZTF18acbvhfl,kcSB6,18.17,0.1291,0.001,1,1,kcSB6,18.17,Gal,0.1291,0.001,-99.9,2,2,sn06bc,17.5,II-norm,0.1288,0.0011,9.0,0,3,agn,17.26,AGN,0.1292,0.0013,-99.9,2,4,qso,16.25,QSO,0.1295,0.0013,-100.0,2,5,kcSB4,14.36,Gal,0.129,0.0013,-99.9,2
ZTF18acbvhit_20181101_P60_v1.ascii,ZTF18acbvhit,sn1987A,10.09,0.0283,0.0057,1,1,sn1987A,10.09,II-norm,0.0283,0.0057,-80.8,0,2,sn09bz,9.3,II-norm,0.0119,0.0049,24.0,0,5,sn2004et,8.66,II-norm,0.012,0.0054,6.2,0,22,sn2011ei,7.87,IIb,0.0309,0.0076,-14.0,0,33,sn91N,7.43,Ic-norm,0.0444,0.008,276.1,1
ZTF18acbvhit_20181224_P60_v1.ascii,ZTF18acbvhit,sn99em,15.75,0.0135,0.0025,1,1,sn99em,15.75,II-norm,0.0135,0.0025,32.5,0,3,sn06bp,15.2,II-norm,0.0165,0.0026,49.0,0,5,sn2004et,14.45,II-norm,0.0114,0.0026,82.5,0,35,sn1993J,10.04,IIb,0.0198,0.0047,6.6,0,64,sn2002er,9.01,Ia-norm,0.0278,0.0067,18.9,0
ZTF18acbvkwl_20181121_P60_v1.ascii,ZTF18acbvkwl,sn06bc,9.15,0.0906,0.0035,1,1,sn06bc,9.15,II-norm,0.0906,0.0035,9.0,0,2,ASASSN14ae,9.05,TDE,0.0835,0.0056,39.0,1,3,sn96L,8.7,IIn,0.0914,0.0046,58.1,0,5,agn,8.41,AGN,0.0912,0.0043,-99.9,2,8,sn99br,8.12,II-norm,0.0943,0.0041,18.0,0
ZTF18acbvnen_20181101_P60_v1.ascii,ZTF18acbvnen,sn99aa,11.83,0.057,0.0046,1,1,sn99aa,11.83,Ia-norm,0.057,0.0046,7.6,0,3,sn1999ac,10.74,Ia-91T,0.0502,0.0058,-9.9,0,5,sn2007cg,10.34,Ia-norm,0.0469,0.0056,5.5,0,6,sn1994T,10.04,Ia-norm,0.0455,0.006,1.7,0,7,sn06gz,10.0,Ia-03fg,0.0411,0.0046,7.2,0
ZTF18acbvnen_20181101_P60_v2.ascii,ZTF18acbvnen,sn1992A,36.42,0.0468,0.0015,1,1,sn1992A,36.42,Ia-norm,0.0468,0.0015,5.9,0,3,sn2003it,34.65,Ia-norm,0.04,0.0015,7.6,0,4,sn2008af,33.39,Ia-norm,0.0424,0.0016,5.9,0,7,sn2007nq,24.21,Ia-norm,0.0401,0.0021,6.3,0,28,sn06gz,17.17,Ia-03fg,0.0398,0.0028,7.2,0
ZTF18acbvpzj_20181101_P60_v1.ascii,ZTF18acbvpzj,sn1997bp,8.03,0.6478,0.006,0,1,sn1997bp,8.03,Ia-norm,0.6478,0.006,-0.2,0,5,sn2003W,6.76,Ia-norm,0.6517,0.0074,-2.3,0,7,sn2003W,6.63,Ia-norm,0.6571,0.0082,-5.3,0,8,sn1999gp,6.51,Ia-91T,0.6376,0.0078,4.9,0,17,sn2002ic,6.05,Ia-csm,0.6241,0.0093,5.6,0
ZTF18acbvpzj_20181101_P60_v2.ascii,ZTF18acbvpzj,sn94D,6.34,0.3043,0.0123,0,1,sn94D,6.34,Ia-norm,0.3043,0.0123,-10.6,0,3,sn2005cf,6.08,Ia-norm,0.293,0.0107,-9.2,0,5,sn1990N,5.8,Ia-norm,0.2896,0.0102,-7.4,0,14,sn2006oa,5.39,Ia-91T,0.2894,0.0112,-8.5,0,17,sn2003dh,5.16,Ic-BL,0.2846,0.0074,14.1,0
ZTF18acbvpzj_20181204_Keck1_v1.ascii,ZTF18acbvpzj,sn2005ke,9.36,0.2996,0.0093,0,1,sn2005ke,9.36,Ia-91bg,0.2996,0.0093,11.4,0,4,sn2007ax,8.5,Ia-91bg,0.2955,0.0102,10.0,0,5,sn02fb,8.29,Ia-91bg,0.3027,0.0098,18.6,0,17,sn2002do,7.05,Ia-norm,0.2964,0.0115,22.6,0,22,sn2002ap,6.64,Ic-BL,0.1561,0.0119,270.3,0
ZTF18acbwaax_20181116_P60_v1.ascii,ZTF18acbwaax,sn2002ck,16.85,0.0735,0.0033,1,1,sn2002ck,16.85,Ia-norm,0.0735,0.0033,11.9,0,2,sn98bu,14.66,Ia-norm,0.0741,0.0038,13.2,0,6,sn1998V,13.68,Ia-norm,0.0742,0.0041,12.1,0,18,sn2003fa,12.38,Ia-91T,0.0737,0.0041,16.5,0,93,sn1992ar,9.45,Ic-norm,0.0767,0.005,3.4,0
ZTF18acbwarv_20181204_Keck1_v1.ascii,ZTF18acbwarv,sn2004dt,21.08,0.062,0.0025,1,1,sn2004dt,21.08,Ia-norm,0.062,0.0025,36.6,0,2,sn1995D,20.56,Ia-norm,0.0627,0.0026,38.2,0,4,sn2008bf,19.9,Ia-norm,0.066,0.0026,41.5,0,5,sn2003du,19.4,Ia-norm,0.0649,0.0026,25.7,0,14,sn1991T,17.35,Ia-91T,0.0618,0.0031,44.3,0
ZTF18acbwasc_20181201_LT_v1.ascii,ZTF18acbwasc,kcSB6,7.62,0.0157,0.0022,1,1,sn2003bg,7.84,IIb,0.0596,0.0052,182.1,0,2,sn1991N,7.8,Ic-norm,0.0563,0.0044,276.1,1,4,sn2004gk,7.76,Ic-norm,0.0594,0.005,159.0,1,5,sn2004ao,7.74,Ib-norm,0.0577,0.0052,184.0,1,6,kcSB6,7.62,Gal,0.0157,0.0022,-99.9,2
ZTF18acbwasc_20181204_Keck1_v1.ascii,ZTF18acbwasc,sn99em,12.75,0.0172,0.0027,1,1,sn99em,12.75,II-norm,0.0172,0.0027,71.2,0,3,sn03bn,12.7,II-norm,0.0169,0.0026,103.0,0,4,sn08in,12.42,II-norm,0.0176,0.0025,62.0,0,32,sn99aa,8.84,Ia-norm,0.0468,0.0068,26.2,0,88,sn99ac,7.14,Ia-91T,0.038,0.0078,39.9,0
ZTF18acbwasc_20181205_LT_v1.ascii,ZTF18acbwasc,kcSB6,9.7,0.0162,0.0018,1,1,sn2006aj,10.24,Ic-BL,0.0577,0.0054,198.1,0,2,sn2004ao,9.91,Ib-norm,0.0575,0.0041,184.0,1,3,kcSB6,9.7,Gal,0.0162,0.0018,-99.9,2,5,kcSB5,9.56,Gal,0.0163,0.0019,-99.9,2,8,kcSB4,9.35,Gal,0.0159,0.0019,-99.9,2
ZTF18acbwasl_20181107_P60_v1.ascii,ZTF18acbwasl,sn2003ic,16.23,0.1009,0.0036,1,1,sn2003ic,16.23,Ia-norm,0.1009,0.0036,4.3,0,2,sn07kk,15.76,Ia-norm,0.104,0.0037,7.15,0,3,sn03ai,14.42,Ia-norm,0.0936,0.0037,7.73,0,8,sn1999ac,12.23,Ia-91T,0.0973,0.0047,2.7,0,45,iPTF13bvn,9.19,Ib-norm,0.095,0.0069,-5.8,0
ZTF18acbwavp_20181117_P60_v1.ascii,ZTF18acbwavp,sn2013dx,7.91,0.7898,0.0113,0,1,sn2013dx,7.91,Ic-BL,0.7898,0.0113,10.7,0,2,sn91N,7.41,Ic-norm,0.7483,0.0125,0.0,1,4,sn2008D,7.31,Ib-norm,0.7927,0.0114,-11.5,0,5,sn2002ap,6.98,Ic-BL,0.7616,0.0124,4.7,0,7,sn2012ap,6.9,Ic-BL,0.7828,0.0119,4.0,0
ZTF18acbwawc_20181201_Keck1_v1.ascii,ZTF18acbwawc,sn94ae,29.05,0.0381,0.0018,1,1,sn94ae,29.05,Ia-norm,0.0381,0.0018,70.0,0,2,sn2002fk,26.41,Ia-norm,0.0387,0.0019,71.7,0,4,sn2005el,24.79,Ia-norm,0.0403,0.0021,59.2,0,12,sn1999ac,21.31,Ia-91T,0.0356,0.0024,86.1,0,71,sn86G,13.95,Ia-91bg,0.0371,0.0034,56.0,0
ZTF18acbwaxk_20181102_P60_v1.ascii,ZTF18acbwaxk,sn1987A,16.86,0.0089,0.003,1,1,sn1987A,16.86,II-norm,0.0089,0.003,-77.5,0,15,sn07il,9.15,II-norm,-0.0052,0.0047,52.0,0,17,sn1996cb,8.53,IIb,0.0212,0.0063,-18.0,0,19,sn2008ax,8.37,IIb,0.0311,0.0067,-18.0,0,22,sn09bz,7.65,II-norm,-0.0039,0.0055,37.0,0
ZTF18acbwaxk_20190325_P60_v1.ascii,ZTF18acbwaxk,sn04et,15.97,0.0008,0.0023,1,1,sn04et,15.97,II-norm,0.0008,0.0023,146.9,0,3,sn1990K,14.23,II-norm,0.0013,0.0028,119.1,1,5,sn07it,14.01,II-norm,0.0021,0.0025,215.0,0,6,sn87A,13.9,II-norm,0.0014,0.0026,113.6,0,69,sn1998S,8.61,IIn,0.0058,0.0044,46.6,0
ZTF18acbwaxk_20190427_P60_v1.ascii,ZTF18acbwaxk,sn2004et,15.54,-0.0008,0.0024,1,1,sn2004et,15.54,II-norm,-0.0008,0.0024,195.8,0,5,sn87A,15.27,II-norm,-0.0,0.0024,113.6,0,11,sn07it,14.13,II-norm,0.0007,0.0026,250.0,0,72,sn2005gj,10.45,Ia-csm,0.0029,0.0046,88.4,0,77,sn1997cy,10.24,IIn,0.0049,0.0048,71.3,1
ZTF18acbwaxk_20190530_P60_v1.ascii,ZTF18acbwaxk,sn2004et,17.93,0.0009,0.0019,1,1,sn2004et,17.93,II-norm,0.0009,0.0019,242.8,0,5,sn1999em,16.98,II-norm,0.0013,0.0019,307.8,0,13,sn90K,15.48,II-norm,0.0006,0.0023,174.8,1,17,sn87A,15.21,II-norm,0.0013,0.0022,255.2,0,66,sn1998S,10.97,IIn,0.0055,0.0037,58.5,0
ZTF18acbwazl_20180930_THO_v1.ascii,ZTF18acbwazl,sn1999ac,9.23,0.0309,0.0095,1,1,sn1999ac,9.23,Ia-91T,0.0309,0.0095,-12.9,0,2,sn2005mf,8.68,Ic-norm,0.0337,0.012,-3.0,0,4,sn2009jf,6.73,Ib-norm,0.0316,0.0151,-1.0,0,5,sn1994I,6.66,Ic-norm,0.0342,0.0158,-1.6,0,6,sn83V,6.52,Ic-norm,0.0297,0.0161,13.9,0
ZTF18acbwazl_20181006_THO_v1.ascii,ZTF18acbwazl,sn02ap,8.91,0.0265,0.0099,1,1,sn02ap,8.91,Ic-BL,0.0265,0.0099,11.6,0,3,sn2013dk,7.88,Ic-norm,0.0322,0.0122,-1.0,0,4,sn2005mf,7.73,Ic-norm,0.0348,0.0121,-3.0,0,8,sn83V,7.05,Ic-norm,0.0276,0.0127,16.9,0,46,sn1999ac,5.97,Ia-91T,0.032,0.0136,-12.9,0
ZTF18acbwazl_20181106_P60_v1.ascii,ZTF18acbwazl,sn1997ef,6.89,0.605,0.0106,0,1,sn1997ef,6.89,Ic-BL,0.605,0.0106,48.4,0,3,sn2007ce,5.95,Ic-BL,0.6151,0.0108,8.0,1,4,sn99gi,5.64,II-norm,0.5732,0.0108,129.4,0,10,sn2007rz,5.15,Ic-norm,0.6012,0.0128,0.0,1,11,PTF10vgv,5.12,Ic-BL,0.6011,0.0142,8.2,0
ZTF18acbwazl_20181204_Keck1_v1.ascii,ZTF18acbwazl,sn2004gt,7.7,0.1675,0.0059,1,1,qso,8.93,QSO,0.1205,0.0035,-100.0,2,2,agn,8.59,AGN,0.1203,0.0037,-99.9,2,3,kcSc,8.26,Gal,0.1199,0.0033,-99.9,2,4,kcSB4,8.13,Gal,0.1195,0.0033,-99.9,2,5,sn2004gt,7.7,Ic-norm,0.1675,0.0059,168.49,0
ZTF18acbwazl_20190307_Keck1_v1.ascii,ZTF18acbwazl,sn1997ef,10.61,0.6124,0.0066,0,1,sn1997ef,10.61,Ic-BL,0.6124,0.0066,12.8,0,2,PTF10vgv,8.61,Ic-BL,0.6018,0.0082,8.2,0,4,sn2002ap,8.19,Ic-BL,0.607,0.0081,11.6,0,6,kcSB2,7.92,Gal,0.4705,0.0035,-99.9,2,7,ASASSN14li,7.78,TDE,0.5733,0.0048,49.0,1
ZTF18acbwazl_20190603_Keck1_v1.ascii,ZTF18acbwazl,sn2002ap,9.84,0.6066,0.0068,0,1,sn2002ap,9.84,Ic-BL,0.6066,0.0068,11.6,0,3,sn1997ef,9.58,Ic-BL,0.6124,0.0071,12.8,0,7,sn1983V,7.93,Ic-norm,0.6062,0.008,11.9,0,12,kcSB2,7.07,Gal,0.4691,0.0038,-99.9,2,13,sn1991bg,6.92,Ia-91bg,0.5882,0.0068,53.9,0
ZTF18acbwchi_20181115_P60_v1.ascii,ZTF18acbwchi,sn2008Z,17.68,0.0929,0.0029,1,1,sn2008Z,17.68,Ia-norm,0.0929,0.0029,7.6,0,2,sn2006cz,16.95,Ia-91T,0.0998,0.0035,-1.0,0,3,sn2006cj,13.91,Ia-norm,0.0913,0.0037,9.1,0,5,sn95D,13.5,Ia-norm,0.0893,0.0038,8.1,0,10,sn06gz,11.86,Ia-03fg,0.0919,0.0038,4.3,0
ZTF18acbwfza_20181102_Gemini_N_v1.ascii,ZTF18acbwfza,sn06bc,12.83,0.003,0.0015,1,1,sn06bc,12.83,II-norm,0.003,0.0015,9.0,0,2,qso,12.63,QSO,0.0034,0.0016,-100.0,2,3,agn,12.09,AGN,0.0032,0.0018,-99.9,2,4,lbv01ac,11.77,LBV,0.004,0.0015,-99.9,2,5,lbv2001ac,11.77,LBV,0.004,0.0015,-99.9,2
ZTF18acbwfza_20181102_P200_v1.ascii,ZTF18acbwfza,sn07it,5.4,0.0047,0.0037,1,1,sn07it,5.4,II-norm,0.0047,0.0037,191.0,0,2,sn06bc,5.06,II-norm,0.0031,0.0033,9.0,0,3,kcSB6,4.9,Gal,0.0029,0.0033,-99.9,2,4,kcSB5,4.9,Gal,0.0031,0.0033,-99.9,2,8,sn96L,4.67,IIn,0.0034,0.0049,58.1,0
ZTF18acbwfza_20181110_Keck1_v1.ascii,ZTF18acbwfza,agn,18.97,0.0032,0.0011,1,1,agn,18.97,AGN,0.0032,0.0011,-99.9,2,2,qso,17.71,QSO,0.0034,0.0012,-100.0,2,3,sn06bc,15.46,II-norm,0.0029,0.0012,9.0,0,4,lbv01ac,14.08,LBV,0.0039,0.0013,-99.9,2,5,lbv2001ac,14.08,LBV,0.0039,0.0013,-99.9,2
ZTF18acbwghc_20181204_Keck1_v1.ascii,ZTF18acbwghc,sn2001G,19.9,0.0844,0.0026,1,1,sn2001G,19.9,Ia-norm,0.0844,0.0026,26.3,0,2,sn2001eh,19.46,Ia-91T,0.0843,0.0026,26.8,0,3,sn2001cp,17.21,Ia-norm,0.083,0.003,26.2,0,4,sn1998es,17.17,Ia-91T,0.0824,0.0029,25.1,0,50,sn2000cn,12.38,Ia-91bg,0.0847,0.0042,12.2,0
ZTF18acbwglb_20181116_P60_v1.ascii,ZTF18acbwglb,sn06Y,8.85,0.0328,0.0045,1,1,sn06Y,8.85,II-norm,0.0328,0.0045,27.0,0,2,sn06bp,8.01,II-norm,0.0354,0.0062,7.2,0,4,sn92H,7.66,II-norm,0.0584,0.0067,129.8,0,20,sn2011fu,7.05,IIb,0.0311,0.0075,-11.0,0,38,sn06lf,6.29,Ia-norm,0.0274,0.009,25.06,0
ZTF18acbwglw_20181116_P60_v1.ascii,ZTF18acbwglw,sn2006cj,21.4,0.0837,0.0026,1,1,sn2006cj,21.4,Ia-norm,0.0837,0.0026,9.1,0,2,sn2003ic,15.13,Ia-norm,0.087,0.0038,4.3,0,5,sn2006et,12.23,Ia-norm,0.0865,0.005,6.3,0,11,sn2003hu,11.67,Ia-91T,0.0843,0.0053,8.4,0,94,sn2007cl,7.71,Ic-norm,0.0838,0.0081,-6.4,0
ZTF18acbwiic_20181113_P60_v1.ascii,ZTF18acbwiic,sn2003ic,8.94,0.0868,0.006,1,1,sn2003ic,8.94,Ia-norm,0.0868,0.006,4.3,0,3,sn2005eu,8.32,Ia-norm,0.0844,0.0061,8.3,0,4,sn2006cj,7.95,Ia-norm,0.084,0.0064,9.1,0,10,sn1999ac,7.29,Ia-91T,0.0857,0.0069,0.4,0,56,sn2006ep,5.48,Ib-norm,0.0818,0.0094,-7.5,0
ZTF18acbwkso_20181107_P60_v1.ascii,ZTF18acbwkso,sn2001br,7.42,0.0185,0.007,1,1,sn2001br,7.42,Ia-norm,0.0185,0.007,27.0,0,2,sn2002kf,6.48,Ia-norm,0.0157,0.0078,29.5,0,3,sn2004eo,6.48,Ia-norm,0.0138,0.0079,30.4,0,14,sn04et,6.1,II-norm,0.0057,0.006,14.5,0,29,sn2000cn,5.92,Ia-91bg,0.0161,0.008,20.9,0
ZTF18acbwlpj_20181106_P60_v1.ascii,ZTF18acbwlpj,sn1998aq,19.48,0.0531,0.0026,1,1,sn1998aq,19.48,Ia-norm,0.0531,0.0026,3.0,0,3,sn1996X,18.92,Ia-norm,0.0555,0.0026,-1.7,0,4,sn2002jy,18.79,Ia-norm,0.0545,0.0027,1.1,0,5,sn94ae,18.61,Ia-norm,0.0541,0.0028,3.3,0,6,sn2004bg,18.48,Ia-norm,0.052,0.0028,2.6,0
ZTF18acbwnsh_20181201_Keck1_v1.ascii,ZTF18acbwnsh,sn2007qe,20.7,0.0784,0.0027,1,1,sn2007qe,20.7,Ia-norm,0.0784,0.0027,18.7,0,2,sn2007sr,20.67,Ia-norm,0.0765,0.0027,16.5,0,4,sn2005eq,18.94,Ia-91T,0.0744,0.0028,16.9,0,6,sn2001ah,18.88,Ia-91T,0.0743,0.0029,17.8,0,8,sn1998V,18.49,Ia-norm,0.0745,0.003,15.0,0
ZTF18acbwopo_20181102_P60_v1.ascii,ZTF18acbwopo,sn1997dq,6.61,0.1223,0.0055,1,1,sn1997dq,6.61,Ic-BL,0.1223,0.0055,222.2,1,2,sn04aw,6.28,Ic-norm,0.122,0.0053,229.3,0,4,sn1997ef,6.17,Ic-BL,0.1223,0.0072,104.8,0,7,kcSB5,6.06,Gal,0.0799,0.0033,-99.9,2,8,kcSc,5.97,Gal,0.0796,0.0035,-99.9,2
ZTF18acbwopo_20181204_Keck1_v1.ascii,ZTF18acbwopo,kcSB2,27.33,0.0807,0.0007,1,1,kcSB2,27.33,Gal,0.0807,0.0007,-99.9,2,2,kcSB1,26.31,Gal,0.0807,0.0007,-99.9,2,3,kcSc,25.04,Gal,0.0809,0.0007,-99.9,2,8,agn,11.9,AGN,0.0807,0.0017,-99.9,2,9,qso,10.7,QSO,0.0808,0.0018,-100.0,2
ZTF18acbwppb_20181110_P60_v1.ascii,ZTF18acbwppb,sn2006gr,15.33,0.0425,0.0045,1,1,sn2006gr,15.33,Ia-norm,0.0425,0.0045,-5.1,0,5,sn2001cp,13.48,Ia-norm,0.0384,0.0052,-6.8,0,6,sn2006le,13.02,Ia-norm,0.0412,0.0053,-6.8,0,7,sn2008ar,12.06,Ia-norm,0.0372,0.0052,-4.6,0,54,sn2002hu,9.31,Ia-91T,0.0354,0.0065,-3.5,0
ZTF18acbwqbd_20181101_P60_v1.ascii,ZTF18acbwqbd,sn1999em,6.52,0.0359,0.0086,1,1,sn1999em,6.52,II-norm,0.0359,0.0086,2.4,0,3,sn05cs,6.48,II-norm,0.0315,0.0087,2.1,0,9,sn04et,6.05,II-norm,0.0361,0.0094,-0.9,0,31,sn93J,5.03,IIb,0.0391,0.015,532.1,0,60,sn04S,4.37,Ia-norm,0.275,0.0114,18.4,0
ZTF18acbwtmf_20181114_P60_v1.ascii,ZTF18acbwtmf,sn2000fa,9.36,0.0673,0.0075,1,1,sn2000fa,9.36,Ia-norm,0.0673,0.0075,-10.4,0,2,sn06gz,9.26,Ia-03fg,0.0543,0.0054,5.2,0,4,sn1999cl,8.88,Ia-norm,0.0628,0.0075,-7.3,0,7,sn86G,8.23,Ia-91bg,0.0526,0.0075,-0.4,0,9,sn2004ef,8.17,Ia-norm,0.0535,0.0067,2.5,0
ZTF18acbwtmf_20181116_NTT_v1.ascii,ZTF18acbwtmf,sn2007S,24.49,0.0576,0.0024,1,1,sn2007S,24.49,Ia-91T,0.0576,0.0024,6.2,0,2,sn2006et,20.71,Ia-norm,0.0556,0.0027,6.3,0,3,sn2005hc,17.36,Ia-norm,0.0588,0.003,5.4,0,4,sn2007co,16.96,Ia-norm,0.0579,0.0033,5.7,0,42,sn2006gz,12.99,Ia-03fg,0.0591,0.0033,6.2,0
ZTF18acbwtng_20181104_P60_v1.ascii,ZTF18acbwtng,sn07il,8.5,0.0174,0.0059,1,1,sn07il,8.5,II-norm,0.0174,0.0059,40.0,0,2,kcSB6,8.2,Gal,0.0165,0.003,-99.9,2,3,kcSB3,7.75,Gal,0.0174,0.0031,-99.9,2,5,sn09bz,7.53,II-norm,0.0171,0.0069,37.0,0,17,sn91N,6.86,Ic-norm,0.0559,0.0064,276.1,1
ZTF18acbwtng_20181111_P60_v1.ascii,ZTF18acbwtng,sn2004gt,8.77,0.0581,0.0071,1,1,sn2004gt,8.77,Ic-norm,0.0581,0.0071,132.49,0,2,sn92H,8.69,II-norm,0.0517,0.0055,129.8,0,4,sn79C,7.94,II-norm,0.0295,0.0079,71.6,0,6,sn2006aj,7.83,Ic-BL,0.0582,0.0086,198.1,0,8,sn2003bg,7.68,IIb,0.0581,0.0077,182.1,0
ZTF18acbwtng_20181201_Keck1_v1.ascii,ZTF18acbwtng,kcSB4,14.27,0.0179,0.0013,1,1,kcSB4,14.27,Gal,0.0179,0.0013,-99.9,2,2,kcSB5,14.04,Gal,0.0181,0.0013,-99.9,2,3,kcSB6,13.9,Gal,0.0177,0.0013,-99.9,2,8,sn04er,10.89,II-norm,0.0183,0.0024,85.0,0,9,sn06lf,9.42,Ia-norm,0.0263,0.0034,25.06,0
ZTF18acbwtnh_20181104_P60_v1.ascii,ZTF18acbwtnh,sn2006cj,9.17,0.0899,0.0071,1,1,sn2006cj,9.17,Ia-norm,0.0899,0.0071,-1.2,0,3,sn2003cg,8.45,Ia-norm,0.0897,0.0068,-2.1,0,4,sn2006cf,8.08,Ia-norm,0.0856,0.0073,4.7,0,6,sn1995E,7.98,Ia-norm,0.0914,0.0074,-2.9,0,22,sn2006cz,7.17,Ia-91T,0.0926,0.0085,-2.0,0
