,ZTF_Name,Version,subject_ids,NoMatch,#1,#2,#3,#4,#5
1680,ZTF19aauivtj,ZTF19aauivtj_20190607_P60_v1.ascii,53627170,0,4,1,0,5,1
1681,ZTF19aaurstb,ZTF19aaurstb_20190605_P60_v2.ascii,53627185,0,2,0,3,5,1
1682,ZTF19aauuzlr,ZTF19aauuzlr_20190516_SOAR_v1.ascii,53627187,2,1,1,4,2,0
1683,ZTF19aauvbqv,ZTF19aauvbqv_20190514_P60_v1.ascii,53627188,1,2,8,0,0,0
1684,ZTF19aavgukt,ZTF19aavgukt_20190606_P60_v1.ascii,53627205,3,2,1,2,1,2
1685,ZTF19aavhblr,ZTF19aavhblr_20190603_P60_v1.ascii,53627207,2,1,2,0,1,5
1686,ZTF19aavjbyl,ZTF19aavjbyl_20190704_Keck1_v1.ascii,53627222,1,2,0,5,0,2
1687,ZTF19aavkptg,ZTF19aavkptg_20190604_P200_v1.ascii,53627233,1,7,1,1,1,0
1688,ZTF19aavlfvn,ZTF19aavlfvn_20190604_P60_v2.ascii,53627241,4,6,0,0,0,0
1689,ZTF19aavmgtv,ZTF19aavmgtv_20190605_P60_v1.ascii,53627246,1,5,2,0,1,1
1690,ZTF19aavnwzv,ZTF19aavnwzv_20190701_P200_v1.ascii,53627257,0,5,0,0,1,6
1691,ZTF19aavotnx,ZTF19aavotnx_20190604_P200_v1.ascii,53627266,0,5,3,1,2,0
1692,ZTF19aavouyw,ZTF19aavouyw_20190604_LT_v1.ascii,53627269,2,0,2,3,0,3
1693,ZTF19aavsyhq,ZTF19aavsyhq_20190607_P60_v1.ascii,53627289,1,8,0,0,1,1
1694,ZTF19aavtcjs,ZTF19aavtcjs_20190603_P60_v1.ascii,53627290,0,0,0,0,2,9
1695,ZTF19aavvygo,ZTF19aavvygo_20190701_P200_v1.ascii,53627296,12,0,0,0,0,0
1696,ZTF19aavwbpc,ZTF19aavwbpc_20190704_Keck1_v1.ascii,53627299,1,2,2,1,4,1
1697,ZTF19aavwbpc,ZTF19aavwbpc_20190704_Keck1_v2.ascii,53627300,0,0,5,1,0,4
1698,ZTF19aavwbxs,ZTF19aavwbxs_20190603_P60_v2.ascii,53627302,8,0,0,1,0,2
1699,ZTF19aavwdwy,ZTF19aavwdwy_20190622_P60_v1.ascii,53627304,1,0,5,0,0,5
1700,ZTF19aavweog,ZTF19aavweog_20190604_P200_v1.ascii,53627305,1,8,1,0,2,0
1701,ZTF19aavxpbx,ZTF19aavxpbx_20190604_P60_v1.ascii,53627310,0,2,2,5,1,1
1702,ZTF19aavyvbn,ZTF19aavyvbn_20191104_APO_v1.ascii,53627313,1,2,0,1,4,0
1703,ZTF19aawbgdh,ZTF19aawbgdh_20190606_P60_v1.ascii,53627317,4,2,2,1,2,0
1704,ZTF19aawblge,ZTF19aawblge_20190628_P60_v1.ascii,53627319,5,1,0,0,3,2
1705,ZTF19aawbsek,ZTF19aawbsek_20190603_P60_v1.ascii,53627322,0,5,1,1,1,3
1706,ZTF19aawfbtg,ZTF19aawfbtg_20190718_P60_v2.ascii,53627334,4,2,1,1,0,3
1707,ZTF19aawfbtg,ZTF19aawfbtg_20190906_P200_v1.ascii,53627337,1,3,2,3,1,1
1708,ZTF19aawfkeg,ZTF19aawfkeg_20190626_Lick_3-m_v1.ascii,53627345,1,8,0,2,0,0
