Version,Resolution,Superfit_c,Superfit_z,ZTF_Name,Zooniverse_c,rlap,agreement
ZTF18acbwaxk_20190524_Keck2_v1.ascii,ZTF18acbwaxk_20190524_Keck2_v1_10,IIb-flash,0.00228,,,,
ZTF18acbwqbd_20181101_P60_v1.ascii,,,,ZTF18acbwqbd,II-norm,6.52,9.0
ZTF18acbznpp_20181110_Keck1_v2.ascii,,,,ZTF18acbznpp,II-norm,7.72,4.0
ZTF18acbznpp_20181110_Keck1_v3.ascii,,,,ZTF18acbznpp,Gal,19.76,7.0
ZTF18acbzqlw_20181110_Keck1_v1.ascii,,,,ZTF18acbzqlw,II-norm,20.85,11.0
ZTF18acbzqoc_20181110_Keck1_v1.ascii,,,,ZTF18acbzqoc,II-norm,8.98,9.0
ZTF18acbzvqj_20181110_Keck1_v1.ascii,,,,ZTF18acbzvqj,Ia-norm,18.76,6.0
ZTF18acbzwms_20181110_Keck1_v1.ascii,,,,ZTF18acbzwms,Ic-norm,16.0,8.0
ZTF18acbzwna_20181107_P60_v1.ascii,,,,ZTF18acbzwna,II-norm,12.04,10.0
ZTF18acclmqm_20181110_Keck1_v1.ascii,,,,ZTF18acclmqm,Ia-norm,36.03,11.0
ZTF18accrade_20181110_Keck1_v1.ascii,,,,ZTF18accrade,II-norm,16.95,9.0
ZTF18acdvqlo_20181110_Keck1_v1.ascii,,,,ZTF18acdvqlo,II-norm,14.42,11.0
ZTF18acdyopn_20181110_Keck1_v1.ascii,,,,ZTF18acdyopn,QSO,15.65,5.0
ZTF18acdzssn_20181214_P200_v1.ascii,,,,ZTF18acdzssn,Ic-BL,5.02,5.0
ZTF18aceckot_20181110_Keck1_v1.ascii,,,,ZTF18aceckot,Ic-BL,18.54,6.0
ZTF18acecuxq_20181110_Keck1_v1.ascii,,,,ZTF18acecuxq,II-norm,20.81,10.0
ZTF18acefgoc_20181024_LT_v1.ascii,,,,ZTF18acefgoc,Ia-91bg,11.23,7.0
ZTF18acejeqb_20190104_Keck1_v1.ascii,,,,ZTF18acejeqb,Ia-norm,6.59,4.0
ZTF18aceqrcy_20181110_Keck1_v1.ascii,,,,ZTF18aceqrcy,Gal,6.85,6.0
ZTF18aceqrcy_20181201_Keck1_v1.ascii,,,,ZTF18aceqrcy,II-norm,24.55,10.0
ZTF18aceqrrs_20190504_VLT_v3.ascii,ZTF18aceqrrs_20190504_VLT_v3_10,IIb-flash,0.08056,,,,
ZTF18aceqrrs_20190504_VLT_v4.ascii,ZTF18aceqrrs_20190504_VLT_v4_10,IIb-flash,0.08056,,,,
ZTF18acevglm_20181110_Keck1_v1.ascii,,,,ZTF18acevglm,Ib-norm,13.07,6.0
ZTF18aceykmc_20181201_Keck1_v1.ascii,,,,ZTF18aceykmc,Gal,40.34,8.0
ZTF18aceyqpm_20181201_Keck1_v1.ascii,,,,ZTF18aceyqpm,Gal,12.76,8.0
ZTF18acfkfjb_20190225_P60_v1.ascii,,,,ZTF18acfkfjb,Ic-norm,6.6,9.0
ZTF18acgukqo_20181110_Keck1_v1.ascii,,,,ZTF18acgukqo,Gal,26.42,7.0
ZTF18acgukqo_20181201_Keck1_v1.ascii,,,,ZTF18acgukqo,II-norm,14.28,5.0
ZTF18acgvgiq_20190524_Keck2_v1.ascii,ZTF18acgvgiq_20190524_Keck2_v1_10,IIb-flash,0.009747,,,,
ZTF18achcfpm_20181201_Keck1_v1.ascii,,,,ZTF18achcfpm,II-norm,17.53,11.0
ZTF18achdzwk_20181201_Keck1_v2.ascii,,,,ZTF18achdzwk,Gal,14.02,4.0
ZTF18achmysr_20181113_P60_v1.ascii,,,,ZTF18achmysr,Ic-BL,3.96,3.0
ZTF18achmysr_20181201_Keck1_v1.ascii,,,,ZTF18achmysr,Ib-norm,27.83,7.0
ZTF18acmxmlq_20181126_P60_v1.ascii,,,,ZTF18acmxmlq,Ia-norm,20.41,8.0
ZTF18acnbqgo_20181204_Keck1_v1.ascii,,,,ZTF18acnbqgo,II-norm,21.68,10.0
ZTF18acpbcil_20181201_Keck1_v1.ascii,,,,ZTF18acpbcil,IIb,20.28,11.0
ZTF18acpeenk_20181201_Keck1_v1.ascii,,,,ZTF18acpeenk,II-norm,21.27,10.0
ZTF18acpqfkz_20181201_Keck1_v1.ascii,,,,ZTF18acpqfkz,Ib-norm,20.18,8.0
ZTF18acqtqic_20200112_P60_v1.ascii,,,,ZTF18acqtqic,Gal,9.47,5.0
ZTF18acqtqic_20200112_P60_v2.ascii,,,,ZTF18acqtqic,Gal,12.48,9.0
ZTF18acqtqic_20200113_P60_v1.ascii,,,,ZTF18acqtqic,Gal,21.36,8.0
ZTF18acqtqic_20200118_P200_v1.ascii,,,,ZTF18acqtqic,Gal,30.7,9.0
ZTF18acqwfsd_20181217_P60_v1.ascii,,,,ZTF18acqwfsd,Ia-norm,5.17,1.0
ZTF18acrkaks_20181201_Keck1_v1.ascii,,,,ZTF18acrkaks,II-norm,15.88,9.0
ZTF18acryfxa_20181217_P60_v1.ascii,,,,ZTF18acryfxa,II-norm,8.02,3.0
ZTF18acryfxa_20181217_P60_v2.ascii,,,,ZTF18acryfxa,Ic-BL,6.43,9.0
ZTF18acsbkpo_20181221_P60_v1.ascii,,,,ZTF18acsbkpo,Ic-SLSN,5.69,6.0
ZTF18acsbkpo_20181221_P60_v2.ascii,,,,ZTF18acsbkpo,Ia-norm,5.87,3.0
ZTF18acsbkpo_20181227_P200_v1.ascii,,,,ZTF18acsbkpo,Ia-norm,8.55,3.0
ZTF18acskhfz_20191008_P60_v1.ascii,,,,ZTF18acskhfz,Ic-norm,5.01,9.0
ZTF18acsodbf_20181214_P200_v1.ascii,,,,ZTF18acsodbf,Ia-norm,5.52,4.0
ZTF18acsodbf_20190104_Keck1_v1.ascii,,,,ZTF18acsodbf,Ia-norm,5.54,5.0
ZTF18acsodbf_20190403_Keck1_v1.ascii,,,,ZTF18acsodbf,II-norm,6.62,6.0
ZTF18acsoxld_20181214_P200_v1.ascii,,,,ZTF18acsoxld,Gal,13.4,5.0
ZTF18acsoxld_20190104_Keck1_v1.ascii,,,,ZTF18acsoxld,II-norm,28.32,11.0
ZTF18acsxine_20181216_P60_v1.ascii,,,,ZTF18acsxine,Ib-norm,4.92,4.0
ZTF18acsxine_20181217_P60_v1.ascii,,,,ZTF18acsxine,Ib-norm,6.4,6.0
ZTF18acsxine_20190926_Keck1_v1.ascii,,,,ZTF18acsxine,Gal,11.28,7.0
ZTF18acsxkov_20190126_P200_v1.ascii,,,,ZTF18acsxkov,II-norm,11.32,7.0
ZTF18acsxyel_20181227_P200_v1.ascii,,,,ZTF18acsxyel,Gal,14.55,9.0
ZTF18acsyisy_20181209_P60_v1.ascii,,,,ZTF18acsyisy,II-norm,13.58,10.0
ZTF18acsyzta_20181213_P200_v1.ascii,,,,ZTF18acsyzta,Gal,11.31,7.0
ZTF18acueihv_20181215_P200_v1.ascii,,,,ZTF18acueihv,IIb,4.6,4.0
ZTF18aculmhk_20200129_P60_v1.ascii,,,,ZTF18aculmhk,IIb,6.99,7.0
ZTF18acurdnh_20181213_P60_v1.ascii,,,,ZTF18acurdnh,Gal,10.28,7.0
ZTF18acushie_20181214_P200_v1.ascii,,,,ZTF18acushie,Ic-BL,12.41,9.0
ZTF18acushie_20181227_P200_v1.ascii,,,,ZTF18acushie,Gal,8.91,13.0
ZTF18acusnvl_20181214_P200_v1.ascii,,,,ZTF18acusnvl,II-norm,10.24,10.0
ZTF18acustza_20181216_P60_v1.ascii,,,,ZTF18acustza,LBV,4.74,8.0
ZTF18acustza_20181229_P60_v1.ascii,,,,ZTF18acustza,Ia-norm,5.58,2.0
ZTF18acustza_20181229_P60_v2.ascii,,,,ZTF18acustza,II-norm,7.23,6.0
ZTF18acvicjm_20181215_P60_v1.ascii,,,,ZTF18acvicjm,Ia-91T,5.49,2.0
ZTF18acvicoa_20181219_P60_v1.ascii,,,,ZTF18acvicoa,Ia-norm,4.8,5.0
ZTF18acvicoa_20181222_P60_v1.ascii,,,,ZTF18acvicoa,Ic-norm,6.52,6.0
ZTF18acvvxzn_20190225_P200_v1.ascii,,,,ZTF18acvvxzn,C-star,5.43,4.0
ZTF18acxexyu_20190225_P200_v1.ascii,,,,ZTF18acxexyu,Gal,15.29,7.0
ZTF18acynjhj_20181221_P60_v1.ascii,,,,ZTF18acynjhj,Ic-norm,8.51,5.0
ZTF18acyocrv_20181229_P60_v1.ascii,,,,ZTF18acyocrv,Ia-norm,5.13,6.0
ZTF18acyybvg_20190126_P200_v1.ascii,,,,ZTF18acyybvg,IIn,9.65,6.0
ZTF18aczdapb_20190102_APO_v1.ascii,,,,ZTF18aczdapb,Ia-03fg,4.95,4.0
ZTF18aczdapb_20190112_P200_v1.ascii,,,,ZTF18aczdapb,Gal,8.05,7.0
ZTF18aczdetq_20190212_P200_v1.ascii,,,,ZTF18aczdetq,Gal,22.93,11.0
ZTF18aczqzrj_20190118_Keck2_v1.ascii,ZTF18aczqzrj_20190118_Keck2_v1_10,IIb-flash,0.040755,,,,
ZTF18adackbh_20190112_P200_v1.ascii,,,,ZTF18adackbh,Gal,9.54,5.0
ZTF18adakhrq_20181230_P60_v1.ascii,,,,ZTF18adakhrq,Ic-BL,4.54,4.0
ZTF18adakhrq_20190126_P200_v1.ascii,,,,ZTF18adakhrq,II-norm,11.74,12.0
ZTF18adakmnq_20190126_P200_v1.ascii,,,,ZTF18adakmnq,Ia-norm,18.96,14.0
ZTF18adalgta_20181230_P60_v1.ascii,,,,ZTF18adalgta,Ic-SLSN,6.68,2.0
ZTF18adalgta_20190126_P200_v1.ascii,,,,ZTF18adalgta,Gal,13.18,8.0
