ZTF_Name classification redshift HGz JD JD_peak phase name flag is_good_spec SF_fit_1 chi2_fit_1 zfit_1 zfit_2 SF_fit_2 chi2_fit_2 c_snid c_rlap z_snid SNR short_name
ZTF18aahfeiy Ia 0.071 0.071256 2458252.5 2458214.65 37.85 ZTF18aahfeiy_20180514_P60_v1.ascii 1 False "Ia 91bg-like" 0.0016091728 0.071 0.071 "Ia 91bg-like" 0.0017163741 Ia-norm 4.0 0.2771 -0.5405305491683747 "1991bg/BC-Asi+1992-01-14 00:00:00.00"
ZTF18aahfeiy Ia 0.071 0.071256 2458255.5 2458214.65 40.85 ZTF18aahfeiy_20180517_P200_v1.ascii 1 True Ia-norm 0.002725356 0.071 0.071 "Ia 99aa-like" 0.0068951705 Ia-norm 15.49 0.0707 1.929208184269915 "2009ig/KAST+2009-10-12 07:24:57.00"
ZTF18aainvic II 0.031 nan 2458254.5 2458266.76 -12.26 ZTF18aainvic_20180516_P200_v1.ascii 1 False II 0.003739026 0.031 0.031 II 0.0068471786 II-norm 19.06 0.0404 10.168236914340595 "2013fs/DBSP+2013-11-26 04:50:56.00"
ZTF18aainvic II 0.031 nan 2458277.5 2458266.76 10.74 ZTF18aainvic_20180608_NOT_v1.ascii 1 False II 0.0037733703 0.031 0.031 II 0.004089693 II-norm 17.15 0.0405 10.254475722331382 "2013fs/DBSP+2013-11-26 04:50:56.00"
ZTF18aainvic II 0.031 nan 2458291.5 2458266.76 24.74 ZTF18aainvic_20180622_TNG_v2.ascii 1 True II 0.0046657347 0.031 0.031 II 0.0047161784 II-norm 18.0 0.0425 12.40185656289512 "2016esw/KAST+2016-11-03 03:44:38.00"
ZTF18aainvic II 0.031 nan 2458313.5 2458266.76 46.74 ZTF18aainvic_20180714_TNG_v1.ascii 1 False II 0.004860863 0.031 0.031 II 0.005246822 II-norm 15.16 0.0324 3.7336354382656083 "2016esw/KAST+2016-11-03 03:44:38.00"
ZTF18aainvic II 0.031 nan 2458316.5 2458266.76 49.74 ZTF18aainvic_20180717_P200_v1.ascii 1 False II 0.003715109 0.031 0.031 IIn 0.00402898 II-norm 16.79 0.0354 7.097693789321158 "2013fs/DBSP+2013-11-26 04:50:56.00"
ZTF18aainvic II 0.031 nan 2458336.5 2458266.76 69.74 ZTF18aainvic_20180806_TNG_v2.ascii 1 False II 0.0056618066 0.031 0.031 IIn 0.006368963 II-norm 13.78 0.0311 2.4988287470388135 "2014G/DOLORES+2014-05-11 21:50:54.00"
ZTF18aainvic II 0.031 nan 2458391.5 2458266.76 124.74 ZTF18aainvic_20180930_TNG_v1.ascii 1 False IIn 0.0057344907 0.031 0.031 IIn 0.0062805284 IIn 13.14 0.0433 3.6209542736986915 "2005cp/DBSP+2006-01-08 00:00:00.00"
ZTF18aairuad Ia 0.061 0.064609 2458224.5 2458227.71 -3.21 ZTF18aairuad_20180416_LT_v1.ascii 1 True Ia-norm 0.0044045 0.061 0.061 Ia-norm 0.0052653747 Ia-norm 17.72 0.061 4.221120994184934 "1994D/KAST+1994-03-16 00:00:00.00"
ZTF18aahjafd Ia 0.044 0.035883 2458229.5 2458233.64 -4.14 ZTF18aahjafd_20180421_APO_v1.ascii 1 True Ia-norm 0.0062228916 0.044 0.044 Ia-norm 0.008718439 Ia-norm 18.89 0.044 7.197800195713625 "2015N/LRIS+2015-07-16 00:00:00.00"
ZTF18aajtlbf Ia-91bg 0.028 0.027989 2458228.5 2458229.9 -1.4 ZTF18aajtlbf_20180420_P200_v1.ascii 1 True "Ia 91bg-like" 0.00481894 0.028 0.028 Ia-norm 0.0055843526 Ia-91bg 19.42 0.0301 3.721136463048661 "2015ac/KAST+2015-08-12 10:55:12.00"
ZTF18aaisyyp SLSN-I 0.132 nan 2458242.5 2458255.68 -13.18 ZTF18aaisyyp_20180504_NOT_v1.ascii 1 False SLSN-I 0.006506946 0.132 0.132 SLSN-I 0.007829452 Ic-norm 8.19 0.1551 3.6647186054441274 "Gaia16apd/ALFOSC+2016-07-04 22:43:20.00"
ZTF18aaisyyp SLSN-I 0.132 nan 2458242.5 2458255.68 -13.18 ZTF18aaisyyp_20180504_P60_v1.ascii 1 False SLSN-I 0.0052713263 0.132 0.132 """super chandra""" 0.0067919474 Ia-norm 6.95 0.2959 7.2455478576166295 "Gaia16apd/ALFOSC+2016-07-04 22:43:20.00"
ZTF18aaisyyp SLSN-I 0.132 nan 2458252.5 2458255.68 -3.18 ZTF18aaisyyp_20180514_Keck1_v1.ascii 1 True SLSN-I 0.022327308 0.132 0.132 SLSN-I 0.023898404 Ia-norm 9.45 0.1387 8.063394947213343 "Gaia16apd/ALFOSC+2016-07-04 22:43:20.00"
ZTF18aaisyyp SLSN-I 0.132 nan 2458487.5 2458255.68 231.82 ZTF18aaisyyp_20190104_Keck1_v1.ascii 1 False Ib 0.006719592 0.132 0.132 SLSN-I 0.0082044555 Ib-norm 8.82 0.135 2.0259315902146797 "2004ao/KAST+2004-06-20 00:00:00.00"
ZTF18aakctzv II 0.038 0.023223 2458281.5 2458248.7 32.8 ZTF18aakctzv_20180612_P200_v1.ascii 1 True SLSN-Ib 0.004691605 0.038 0.038 SLSN-I 0.004880152 Gal 12.09 0.0213 10.818817753780912 "2010md/DBSP+2010-07-14 00:00:00.00"
ZTF18aahfzea Ia 0.025 0.02373 2458229.5 2458217.71 11.79 ZTF18aahfzea_20180421_P60_v1.ascii 1 False Ia-norm 0.0009429554 0.025 0.025 Ia-norm 0.0014855968 Ia-norm 21.26 0.0232 4.529709531098858 "2012cg/KAST+2012-06-13 05:25:26.00"
ZTF18aahfzea Ia 0.025 0.02373 2458229.5 2458217.71 11.79 ZTF18aahfzea_20180421_P60_v2.ascii 1 True Ia-norm 0.0009429554 0.025 0.025 Ia-norm 0.0014855968 Ia-norm 21.26 0.0232 4.529709531098858 "2012cg/KAST+2012-06-13 05:25:26.00"
ZTF18aahhzqn Ib/c 0.034 0.031065 2458229.5 2458221.7 7.8 ZTF18aahhzqn_20180421_P60_v1.ascii 1 False Ic 0.0019158643 0.034 0.034 Ic 0.0026291774 Ic-norm 7.81 0.0256 3.9544549902990447 "1994I/BC-Ekar+1994-04-09 00:00:00.00"
ZTF18aahhzqn Ib/c 0.034 0.031065 2458229.5 2458221.7 7.8 ZTF18aahhzqn_20180421_P60_v2.ascii 1 False Ic 0.0019158643 0.034 0.034 Ic 0.0026291774 Ic-norm 7.81 0.0256 3.9544549902990447 "1994I/BC-Ekar+1994-04-09 00:00:00.00"
ZTF18aahhzqn Ib/c 0.034 0.031065 2458240.5 2458221.7 18.8 ZTF18aahhzqn_20180502_NOT_v1.ascii 1 True Ic 0.004921181 0.034 0.034 Ib 0.008465711 Ib-norm 21.62 0.0338 6.217519292251465 "1994I/KAST+1994-04-20 00:00:00.00"
ZTF18aajqcue SLSN-I 0.0734 nan 2458254.5 2458272.63 -18.13 ZTF18aajqcue_20180516_LT_v2.ascii 1 False Ia-CSM 0.0037131847 0.0734 0.0734 Ic-pec 0.0038238766 Ia-91T 5.26 0.0727 4.675083898220942 "PTF11kx/RC-Spec+2011-02-03 00:00:00.00"
ZTF18aajqcue SLSN-I 0.0734 nan 2458254.5 2458272.63 -18.13 ZTF18aajqcue_20180516_P200_v1.ascii 1 False SLSN-I 0.004220602 0.0734 0.0734 II 0.004407517 Ia-91T 5.27 0.1946 7.239802755326502 "PTF10nmn/LRIS+2010-07-07 00:00:00.00"
ZTF18aajqcue SLSN-I 0.0734 nan 2458254.5 2458272.63 -18.13 ZTF18aajqcue_20180516_P200_v2.ascii 1 False Ic 0.0037354056 0.0734 0.0734 Ib 0.0040280037 Ia-norm 8.24 0.0653 7.366905877265307 "1994I/KAST+1994-04-04 10:14:53.00"
ZTF18aajqcue SLSN-I 0.0734 nan 2458268.5 2458272.63 -4.13 ZTF18aajqcue_20180530_NOT_v1.ascii 1 False SLSN-I 0.0041895653 0.0734 0.0734 SLSN-I 0.004425478 Ia-norm 10.34 0.0727 8.043951854418392 "SN2007bi/AFOSC+2007-04-22 00:00:00.00"
ZTF18aajqcue SLSN-I 0.0734 nan 2458278.5 2458272.63 5.87 ZTF18aajqcue_20180609_P200_v1.ascii 1 False SLSN-I 0.0046672607 0.0734 0.0734 IIb 0.005326011 Ia-91T 14.33 0.0747 10.63093474896704 "PTF10nmn/LRIS+2010-07-07 00:00:00.00"
ZTF18aajqcue SLSN-I 0.0734 nan 2458278.5 2458272.63 5.87 ZTF18aajqcue_20180609_P200_v3.ascii 1 False SLSN-I 0.004097147 0.0734 0.0734 SLSN-I 0.004839601 Ia-91T 12.58 0.0751 11.102755022016717 "2015bn/SNIFS+2015-06-21 00:00:00.00"
ZTF18aajqcue SLSN-I 0.0734 nan 2458279.5 2458272.63 6.87 ZTF18aajqcue_20180610_LT_v1.ascii 1 False Ic-pec 0.004660436 0.0734 0.0734 Ib 0.005787047 Ia-norm 7.6 0.0785 7.125168861025943 "2005ek/FAST+2005-09-28 00:00:00.00"
ZTF18aajqcue SLSN-I 0.0734 nan 2458294.5 2458272.63 21.87 ZTF18aajqcue_20180625_NOT_v1.ascii 1 True Ic 0.0032728675 0.0734 0.0734 SLSN-I 0.0035372202 Ib-norm 11.86 0.0727 6.543321077921205 "2007gr/KAST+2007-08-21 12:15:50.00"
