Version,Resolution,Superfit_c,Superfit_z,Match,Gal,Frac(SN),Frac(gal),Phase,Av
ZTF19abzlvsz_20190923_P60_v1.ascii,binnings/ZTF19abzlvsz_20190923_P60_v1,Ia 02es-like,0.04592,Ia 02es-like/PTF10ops/DBSP phase-band : 101.0g,Sc,0.9028508,0.09714916,101.0,-0.2
ZTF19abzqywg_20191003_P200_v1.ascii,binnings/ZTF19abzqywg_20191003_P200_v1,IIb,0.043875,IIb/2013df/HET-LRS phase-band : -1.0B,SB4,0.23571667,0.76428336,-1.0,1.0
ZTF19abzrmmd_20190928_Keck1_v1.ascii,binnings/ZTF19abzrmmd_20190928_Keck1_v1,II,0.03275025,II/iPTF15crj/FLOYDS-N phase-band : u-,SB2,0.5781746,0.42182544,u,0.8
ZTF19abzvvkb_20191001_P60_v1.ascii,binnings/ZTF19abzvvkb_20191001_P60_v1,Ia 91T-like,0.09165,Ia 91T-like/1991T/Other phase-band : -13.0B,Sc,0.9722644,0.02773561,-13.0,-1.4
ZTF19abzwaen_20200915_Keck1_v2.ascii,binnings/ZTF19abzwaen_20200915_Keck1_v2,TDE H,0.0285,TDE H/ASASSN-14ae/LRIS phase-band : 287.62B,SB1,0.879582,0.120418034,287.62,-1.0
ZTF19abzzuik_20191023_APO_v1.ascii,binnings/ZTF19abzzuik_20191023_APO_v1,IIb-flash,0.0676725,IIb-flash/2013cu_early/DEIMOS phase-band : -7.0V,E,,,-7.0,-2.0
ZTF19acaijhg_20191003_P200_v1.ascii,binnings/ZTF19acaijhg_20191003_P200_v1,SLSN-IIn,0.03252,SLSN-IIn/PTF10tpz/KAST phase-band : u-,SB4,0.9761821,0.023817904,u,-1.8
ZTF19acajpre_20191005_P60_v1.ascii,binnings/ZTF19acajpre_20191005_P60_v1,Ia 02es-like,0.03045,Ia 02es-like/PTF10ops/DBSP phase-band : 101.0g,S0,0.991723,0.00827697,101.0,0.2
ZTF19acapech_20191104_APO_v1.ascii,binnings/ZTF19acapech_20191104_APO_v1,IIb-flash,0.076875,IIb-flash/2013cu_early/DEIMOS phase-band : -7.0V,E,0.6506102,0.34938976,-7.0,-2.0
ZTF19acasxva_20191024_P200_v1.ascii,binnings/ZTF19acasxva_20191024_P200_v1,SLSN-I,0.0777,SLSN-I/2015bn/LDSS-3 phase-band : 120.34B,Sc,0.5257816,0.47421843,120.34,0.8
ZTF19acazljd_20191005_P200_v1.ascii,binnings/ZTF19acazljd_20191005_P200_v1,IIn,0.04466,IIn/2010jl/DEIMOS phase-band : 20.65V,SB3,0.6078606,0.39213938,20.65,-1.8
ZTF19acbchel_20200916_P200_v1.ascii,binnings/ZTF19acbchel_20200916_P200_v1,II-flash,0.02706,II-flash/iPTF15crj_early/ALFOSC phase-band : u-,Sa,0.56504095,0.43495908,u,-2.0
ZTF19acbjddp_20191024_P200_v1.ascii,binnings/ZTF19acbjddp_20191024_P200_v1,Ia-CSM,0.1835,Ia-CSM/2019fcg/EFOSC2-NTT phase-band : u-,Sa,0.9767006,0.023299411,u,0.0
ZTF19acblzux_20191004_P60_v2.ascii,binnings/ZTF19acblzux_20191004_P60_v2,Ia 91bg-like,0.0378,Ia 91bg-like/2005bl/WFCCD phase-band : -6.87B,SB4,0.99743193,0.0025680384,-6.87,-1.0
ZTF19acbmjrp_20191011_P60_v1.ascii,binnings/ZTF19acbmjrp_20191011_P60_v1,Ia-CSM-(ambigious),0.08925,Ia-CSM-(ambigious)/2002ic/BC-Magellan phase-band : 2.0B,Sa,0.92827076,0.07172923,2.0,2.0
ZTF19acbmjrp_20191024_P200_v1.ascii,binnings/ZTF19acbmjrp_20191024_P200_v1,Ia 91T-like,0.087125,Ia 91T-like/2018hfr/KAST phase-band : u-,SB4,0.59625834,0.40374163,u,1.0
ZTF19acbmojx_20191005_P200_v1.ascii,binnings/ZTF19acbmojx_20191005_P200_v1,Ib,0.02565,Ib/2004gq/KAST phase-band : -0.68B,Sb,0.26050517,0.7394948,-0.68,0.8
ZTF19acbonaa_20191125_P200_v1.ascii,binnings/ZTF19acbonaa_20191125_P200_v1,Ia 91bg-like,0.120745,Ia 91bg-like/2016ije/KAST phase-band : u-,Sc,0.79143757,0.2085624,u,-0.2
