Version,Resolution,Superfit_c,Superfit_z,Match,Gal,Frac(SN),Frac(gal),Phase,Av,ZTF_Name,Zooniverse_c_broad,agreement_broad,Zooniverse_c,rlap,agreement,z
ZTF20abyskia_20200917_P60_v1.ascii,,,,,,,,,,ZTF20abyskia,Ia,9,Ia-norm,7.71,5,0.085
ZTF20abyylgi_20200914_P60_v1.ascii,,,,,,,,,,ZTF20abyylgi,Ic,9,Ic-BL,5.34,9,0.2256
ZTF20abyylgi_20200919_P60_v1.ascii,,,,,,,,,,ZTF20abyylgi,Gal,7,Gal,4.91,7,0.0455
ZTF20abyylgi_20200922_P60_v1.ascii,,,,,,,,,,ZTF20abyylgi,Ia,5,Ia-norm,4.65,5,0.0707
ZTF20acaczen_20201006_P60_v1.ascii,,,,,,,,,,ZTF20acaczen,Ia,10,Ia-norm,5.46,8,0.1242
ZTF20acbekkx_20201012_P60_v1.ascii,,,,,,,,,,ZTF20acbekkx,Ia,5,Ia-norm,3.29,4,0.9871
ZTF20acbekkx_20201013_P60_v1.ascii,,,,,,,,,,ZTF20acbekkx,Ia,3,Ia-norm,5.4,3,0.8046
ZTF20acbekkx_20201015_P60_v1.ascii,,,,,,,,,,ZTF20acbekkx,Ia,9,Ia-norm,5.45,5,0.4027
ZTF20acctbbw_20201006_P60_v1.ascii,,,,,,,,,,ZTF20acctbbw,Ic,8,Ic-norm,4.28,6,0.2962
ZTF20acdewdg_20201010_P60_v1.ascii,,,,,,,,,,ZTF20acdewdg,Ia,11,Ia-91bg,6.41,7,0.1744
ZTF20acehyxd_20201005_P60_v1.ascii,,,,,,,,,,ZTF20acehyxd,Ia,3,Ia-norm,4.32,3,0.2705
ZTF20acgnenc_20201006_P60_v1.ascii,,,,,,,,,,ZTF20acgnenc,Ia,10,Ia-norm,4.4,6,0.1275
ZTF20acgnenc_20201009_P60_v1.ascii,,,,,,,,,,ZTF20acgnenc,Ic,7,Ic-BL,4.46,7,0.3708
ZTF20achaxsk_20201020_P60_v1.ascii,,,,,,,,,,ZTF20achaxsk,TDE,5,TDE,3.92,5,0.1856
ZTF20achaxsk_20201021_P60_v1.ascii,,,,,,,,,,ZTF20achaxsk,Ic,6,Ic-BL,6.05,4,0.1506
ZTF20achjwqt_20201030_P60_v1.ascii,,,,,,,,,,ZTF20achjwqt,Ia,9,Ia-91bg,5.96,7,0.5921
ZTF20achncvv_20201020_P60_v1.ascii,,,,,,,,,,ZTF20achncvv,Ia,4,Ia-91T,6.24,4,0.8741
ZTF20achncvv_20201022_P60_v1.ascii,,,,,,,,,,ZTF20achncvv,Gal,7,Gal,4.19,7,0.3052
ZTF20achvdtx_20201031_P60_v1.ascii,,,,,,,,,,ZTF20achvdtx,II,8,II-norm,6.92,7,0.0308
ZTF20acigqfi_20201111_P60_v1.ascii,,,,,,,,,,ZTF20acigqfi,Ic,3,Ia-norm,8.65,2,0.2486
ZTF20aciowcm_20201030_P60_v1.ascii,,,,,,,,,,ZTF20aciowcm,Ia,10,Ia-norm,7.21,6,0.1158
ZTF20aciuakv_20201014_P60_v1.ascii,,,,,,,,,,ZTF20aciuakv,Ic,5,Ia-norm,4.68,4,0.0315
ZTF20acjeflr_20201101_P60_v1.ascii,,,,,,,,,,ZTF20acjeflr,Ic,6,Ic-norm,5.86,5,0.4582
ZTF20acjeflr_20201101_P60_v2.ascii,,,,,,,,,,ZTF20acjeflr,II,6,IIn,4.49,6,0.0275
ZTF20acjfvzr_20201024_P60_v2.ascii,,,,,,,,,,ZTF20acjfvzr,II,5,IIn,4.14,5,0.9252
ZTF20aclkdlu_20201021_P60_v1.ascii,,,,,,,,,,ZTF20aclkdlu,Ic,5,Ic-SLSN,4.72,5,0.2729
ZTF20aclkuqh_20201031_P60_v1.ascii,,,,,,,,,,ZTF20aclkuqh,Ib,5,Ib-norm,6.43,5,0.4528
ZTF20aclkvjy_20201102_P60_v1.ascii,,,,,,,,,,ZTF20aclkvjy,LBV,7,LBV,8.11,7,0.076
ZTF20aclxbwk_20201031_P60_v2.ascii,,,,,,,,,,ZTF20aclxbwk,Ia,8,Ia-norm,9.41,7,0.2288
ZTF20acmddof_20201102_P60_v1.ascii,,,,,,,,,,ZTF20acmddof,Ic,5,Ib-norm,3.97,4,0.4638
ZTF20acnsinb_20201031_P60_v1.ascii,,,,,,,,,,ZTF20acnsinb,Ia,7,Ia-norm,4.39,7,0.0888
ZTF20acnsinb_20201104_P60_v1.ascii,,,,,,,,,,ZTF20acnsinb,Ia,9,Ia-norm,6.1,9,0.0847
ZTF20acntqoh_20201030_P60_v1.ascii,,,,,,,,,,ZTF20acntqoh,Ia,9,Ia-norm,5.48,7,0.0694
ZTF20acogybn_20201031_P60_v1.ascii,,,,,,,,,,ZTF20acogybn,Ia,7,Ia-91T,5.75,6,0.1056
