,Version,Resolution,Superfit_c,Superfit_z,Match,Gal,Frac(SN),Frac(gal),Phase,Av,ZTF_Name,Zooniverse_c_broad,agreement_broad,Zooniverse_c,rlap,agreement,z
6016,ZTF19acgxbwo_20191117_P60_v1.ascii,ZTF19acgxbwo_20191117_P60_v1_10,Ia-norm,0.0525,Ia-norm/2007sr/BC-duPont+2454470.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sb,0.038937397,0.9610626,20.0,0.6,ZTF19acgxbwo,Ia,6,Ia-norm,6.85,5,0.0806
6017,ZTF19acgzwbm_20191023_P60_v1.ascii,ZTF19acgzwbm_20191023_P60_v1_10,Ia 91bg-like,0.0208845,Ia 91bg-like/2005bl/FORS2+2453514.6329051,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB2,0.01374767,0.9862523,31.132906,-2.0,ZTF19acgzwbm,Ia,6,Ia-norm,4.15,6,0.4449
6018,ZTF19acgzwbm_20191024_P200_v1.ascii,ZTF19acgzwbm_20191024_P200_v1_10,II,0.01989,II/iPTF15crj/FLOYDS-N+2457288.7627315,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB6,0.23493882,0.7650612,57289.26,1.6,ZTF19acgzwbm,Gal,4,Gal,7.67,4,0.0201
6019,ZTF19acgzwbm_20191024_P60_v1.ascii,ZTF19acgzwbm_20191024_P60_v1_10,II,0.0208845,II/2013ej/HET-LRS+2456505.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/E,0.22368875,0.7763113,-2.6082177,2.0,ZTF19acgzwbm,Ia,3,Ia-norm,6.2,3,0.4791
6020,ZTF19acgzzea_20191028_P60_v1.ascii,ZTF19acgzzea_20191028_P60_v1_10,Ia 91bg-like,0.0315,Ia 91bg-like/1991bg/BC-Asi+2448619.5701389,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB3,0.111892946,0.88810706,48620.07,0.0,ZTF19acgzzea,II,3,II-norm,5.06,3,0.2937
6021,ZTF19acgzzea_20191105_P60_v1.ascii,ZTF19acgzzea_20191105_P60_v1_10,ILRT,0.02925,ILRT/PTF10fqs/HET-LRS+2455307.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sc,0.3073846,0.6926154,-6.0,1.8,ZTF19acgzzea,Gal,7,Gal,4.22,7,0.4381
6022,ZTF19acgzzea_20191107_P60_v1.ascii,ZTF19acgzzea_20191107_P60_v1_10,IIn,0.0285,IIn/2008fq/WFCCD+2454738.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB4,0.6332039,0.36679608,10.0,0.2,ZTF19acgzzea,Ia,4,Ia-norm,5.92,2,0.0204
6023,ZTF19achagst_20191103_P60_v1.ascii,ZTF19achagst_20191103_P60_v1_10,Ia-norm,0.0663,Ia-norm/2011by/KAST+2455695.7459954,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sc,0.6407455,0.3592545,5.2459955,2.0,ZTF19achagst,Ia,10,Ia-norm,16.76,10,0.0656
6024,ZTF19achahea_20191023_P60_v1.ascii,ZTF19achahea_20191023_P60_v1_10,Ia 91bg-like,0.04534,Ia 91bg-like/2015ac/KAST+2457246.955,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB5,0.7565238,0.2434762,57247.453,-0.2,ZTF19achahea,Ia,10,Ia-91bg,10.62,10,0.0491
6025,ZTF19achaibh_20191029_P60_v1.ascii,ZTF19achaibh_20191029_P60_v1_10,II,0.0285,II/1999em/LRIS+2451490.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB2,0.22926584,0.77073413,8.0,-0.6,ZTF19achaibh,Ib,5,Ib-norm,6.8,5,0.2925
6026,ZTF19achajnc_20191031_P60_v2.ascii,ZTF19achajnc_20191031_P60_v2_10,Ia-norm,0.0855,Ia-norm/2012cg/KAST+2456076.68,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB2,0.7334595,0.26654053,-5.499426,1.8,ZTF19achajnc,Ia,8,Ia-norm,12.77,8,0.0898
6027,ZTF19achaqju_20191102_P60_v1.ascii,ZTF19achaqju_20191102_P60_v1_10,Ia-CSM-(ambigious),0.0855,Ia-CSM-(ambigious)/2002ic/BC-duPont+2452611.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB5,0.34841496,0.65158504,6.0,2.0,ZTF19achaqju,Ia,6,Ia-norm,6.35,6,0.1021
6028,ZTF19achaspq_20191029_P60_v1.ascii,ZTF19achaspq_20191029_P60_v1_10,Ia-norm,0.014725,Ia-norm/2015N/LRIS+2457219.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB5,0.9945552,0.0054448405,-2.0,-1.2,ZTF19achaspq,Ia,10,Ia-norm,10.83,10,0.0205
6029,ZTF19achbhfc_20191107_P60_v1.ascii,ZTF19achbhfc_20191107_P60_v1_10,Ia-02cx like,0.095,Ia-02cx like/2012Z/KAST+2455958.7259954,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sa,0.997442,0.0025580178,-8.585758,-2.0,ZTF19achbhfc,II,6,II-norm,11.05,6,-0.0007
6030,ZTF19achcdju_20191023_P60_v1.ascii,ZTF19achcdju_20191023_P60_v1_10,IIb,0.2777778,IIb/2013cu/LRIS+2456421.8784954,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sa,0.9310673,0.06893271,-0.6215046,2.0,ZTF19achcdju,Ic,7,Ic-norm,4.58,7,0.4383
