,ZTF_Name,Version,subject_ids,NoMatch,#1,#2,#3,#4,#5
3103,ZTF19aanijpu,ZTF19aanijpu_20200323_Keck1_v1.ascii,53626667,0,5,2,0,3,0
3104,ZTF19aanijyq,ZTF19aanijyq_20190406_Keck1_v1.ascii,53626668,0,2,2,4,0,0
3105,ZTF19aanikcj,ZTF19aanikcj_20190413_P200_v1.ascii,53626669,0,7,1,1,1,0
3106,ZTF19aaniore,ZTF19aaniore_20190331_P60_v1.ascii,53626670,0,8,1,1,0,0
3107,ZTF19aaniqrr,ZTF19aaniqrr_20190418_P60_v1.ascii,53626671,4,0,1,0,1,4
3108,ZTF19aaniqrr,ZTF19aaniqrr_20190424_P200_v1.ascii,53626672,2,0,0,0,8,0
3109,ZTF19aaniqrr,ZTF19aaniqrr_20190502_DCT_v1.ascii,53626673,3,0,6,0,0,1
3110,ZTF19aaniqrr,ZTF19aaniqrr_20190529_DCT_v1.ascii,53626674,8,1,3,2,4,22
3111,ZTF19aaniqrr,ZTF19aaniqrr_20190622_DCT_v1.ascii,53626675,3,0,3,4,1,0
3112,ZTF19aaniqrr,ZTF19aaniqrr_20190702_Keck1_v1.ascii,53626676,7,0,0,3,0,0
3113,ZTF19aaniqrr,ZTF19aaniqrr_20190704_Keck1_v1.ascii,53626677,2,0,6,0,1,1
3114,ZTF19aaniqrr,ZTF19aaniqrr_20190801_P200_v1.ascii,53626678,4,1,0,0,0,4
3115,ZTF19aaniqrr,ZTF19aaniqrr_20191027_Keck1_v1.ascii,53626679,2,0,8,0,0,0
3116,ZTF19aaniqrr,ZTF19aaniqrr_20200322_Keck1_v1.ascii,53626680,4,2,0,0,0,5
3117,ZTF19aanircs,ZTF19aanircs_20190331_P60_v1.ascii,53626681,1,2,6,1,0,1
3118,ZTF19aanirdx,ZTF19aanirdx_20190409_P60_v1.ascii,53626682,0,0,2,1,6,2
3119,ZTF19aanirdx,ZTF19aanirdx_20190409_P60_v2.ascii,53626683,1,2,3,1,2,0
